block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,42019,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,42020,State AN,AN,"[np.float64(0.9931542353555611), np.float64(0.96)]",1,"[np.float64(-0.41976336940106024), np.float64(0.96)]"
0,42021,State HN,HN,"[np.float64(-0.009900999999999938), np.float64(0.96)]",1,"[np.float64(-0.9441316804502904), np.float64(0.96)]"
0,42022,State CF,CF,"[np.float64(0.9514038182707214), np.float64(-0.9901)]",0,"[np.float64(0.10371320541042559), np.float64(-0.6961516580113765)]"
0,42023,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,42024,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,42025,State CH,CH,"[np.float64(0.9514038182707214), np.float64(-0.009900999999999938)]",0,"[np.float64(0.10371320541042559), np.float64(-0.9441316804502904)]"
0,42026,State BN,BN,"[np.float64(0.9968995239), np.float64(0.96)]",1,"[np.float64(-0.5802366305989398), np.float64(0.96)]"
0,42027,State GF,GF,"[np.float64(-0.23713676268956843), np.float64(-0.9901)]",0,"[np.float64(0.05586831954970961), np.float64(-0.6961516580113765)]"
0,42028,State EH,EH,"[np.float64(-0.3146248723383743), np.float64(-0.009900999999999938)]",1,"[np.float64(0.3038483419886236), np.float64(-0.9441316804502904)]"
0,42029,State AE,AE,"[np.float64(0.9931542353555611), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.41976336940106024), np.float64(0.3038483419886236)]"
0,42030,State CB,CB,"[np.float64(0.9514038182707214), np.float64(0.9968995239)]",0,"[np.float64(0.10371320541042559), np.float64(-0.5802366305989398)]"
0,42031,State DG,DG,"[np.float64(9.900000099683181e-09), np.float64(-0.23713676268956843)]",1,"[np.float64(-0.8962867945895744), np.float64(0.05586831954970961)]"
0,42032,State DE,DE,"[np.float64(9.900000099683181e-09), np.float64(-0.3146248723383743)]",1,"[np.float64(-0.8962867945895744), np.float64(0.3038483419886236)]"
0,42033,State CN,CN,"[np.float64(0.9514038182707214), np.float64(0.96)]",1,"[np.float64(0.10371320541042559), np.float64(0.96)]"
0,42034,State DH,DH,"[np.float64(9.900000099683181e-09), np.float64(-0.009900999999999938)]",1,"[np.float64(-0.8962867945895744), np.float64(-0.9441316804502904)]"
0,42035,State BF,BF,"[np.float64(0.9968995239), np.float64(-0.9901)]",0,"[np.float64(-0.5802366305989398), np.float64(-0.6961516580113765)]"
0,42036,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,42037,State AF,AF,"[np.float64(0.9931542353555611), np.float64(-0.9901)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.6961516580113765)]"
0,42038,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,42039,State AG,AG,"[np.float64(0.9931542353555611), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.41976336940106024), np.float64(0.05586831954970961)]"
0,42040,State CN,CN,"[np.float64(0.9514038182707214), np.float64(0.96)]",0,"[np.float64(0.10371320541042559), np.float64(0.96)]"
0,42041,State AH,AH,"[np.float64(0.9931542353555611), np.float64(-0.009900999999999938)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.9441316804502904)]"
0,42042,State DF,DF,"[np.float64(9.900000099683181e-09), np.float64(-0.9901)]",0,"[np.float64(-0.8962867945895744), np.float64(-0.6961516580113765)]"
0,42043,State AH,AH,"[np.float64(0.9931542353555611), np.float64(-0.009900999999999938)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.9441316804502904)]"
0,42044,State FN,FN,"[np.float64(-0.9901), np.float64(0.96)]",1,"[np.float64(-0.6961516580113765), np.float64(0.96)]"
0,42045,State BE,BE,"[np.float64(0.9968995239), np.float64(-0.3146248723383743)]",0,"[np.float64(-0.5802366305989398), np.float64(0.3038483419886236)]"
0,42046,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,42047,State GH,GH,"[np.float64(-0.23713676268956843), np.float64(-0.009900999999999938)]",0,"[np.float64(0.05586831954970961), np.float64(-0.9441316804502904)]"
0,42048,State AH,AH,"[np.float64(0.9931542353555611), np.float64(-0.009900999999999938)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.9441316804502904)]"
