block_number,trial_number,state_id,stim_id,action,w_values
0,62367,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62368,State EF,EF,0,"[np.float64(0.03263733151954127), np.float64(-0.9673626684804587)]"
0,62369,State DG,DG,1,"[np.float64(-0.6984500499132545), np.float64(-0.15427341364295402)]"
0,62370,State AD,AD,0,"[np.float64(0.35811344694409575), np.float64(-0.6984500499132545)]"
0,62371,State EF,EF,0,"[np.float64(0.03263733151954127), np.float64(-0.9673626684804587)]"
0,62372,State FN,FN,1,"[np.float64(-0.9673626684804587), np.float64(-0.03)]"
0,62373,State BH,BH,0,"[np.float64(-0.6418865530559043), np.float64(-0.8457265863570459)]"
0,62374,State GH,GH,0,"[np.float64(-0.15427341364295402), np.float64(-0.8457265863570459)]"
0,62375,State CE,CE,0,"[np.float64(0.3015499500867455), np.float64(0.03263733151954127)]"
0,62376,State CG,CG,0,"[np.float64(0.3015499500867455), np.float64(-0.15427341364295402)]"
0,62377,State GN,GN,1,"[np.float64(-0.15427341364295402), np.float64(-0.03)]"
0,62378,State DN,DN,1,"[np.float64(-0.6984500499132545), np.float64(-0.03)]"
0,62379,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62380,State DN,DN,1,"[np.float64(-0.6984500499132545), np.float64(-0.03)]"
0,62381,State DE,DE,1,"[np.float64(-0.6984500499132545), np.float64(0.03263733151954127)]"
0,62382,State AF,AF,0,"[np.float64(0.35811344694409575), np.float64(-0.9673626684804587)]"
0,62383,State EN,EN,1,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62384,State CB,CB,0,"[np.float64(0.3015499500867455), np.float64(-0.6418865530559043)]"
0,62385,State BN,BN,1,"[np.float64(-0.6418865530559043), np.float64(-0.03)]"
0,62386,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62387,State CH,CH,0,"[np.float64(0.3015499500867455), np.float64(-0.8457265863570459)]"
0,62388,State EN,EN,1,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62389,State DH,DH,0,"[np.float64(-0.6984500499132545), np.float64(-0.8457265863570459)]"
0,62390,State GN,GN,1,"[np.float64(-0.15427341364295402), np.float64(-0.03)]"
