block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,17,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.09371944431607115), np.float64(-0.3318307330908485)]",0,"[np.float64(0.40628006068393374), np.float64(0.8318302380908533)]",0,1,[-0.04999995],[0.49999951],17,0.6190551493873935,0.09371944431607115,-0.3318307330908485
0,17,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.47877124989806685), np.float64(-0.2465323218201007)]",0,"[np.float64(0.026178750052928135), np.float64(-0.24851767822890425)]",0,1,[0.499505],[0.00495],17,-0.11116946408798806,0.47877124989806685,-0.2465323218201007
0,17,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4468325504295301), np.float64(-0.33472633502926546)]",0,"[np.float64(0.058067954569475), np.float64(-0.16037315997172946)]",0,1,[0.49950995],[0.0049005],17,-0.05115260270112723,0.4468325504295301,-0.33472633502926546
0,18,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.48976632492029665), np.float64(-0.25895820573154593)]",0,"[np.float64(0.010728675074802851), np.float64(-0.24054679427335457)]",0,1,[0.4999505],[0.000495],18,-0.11490905959927586,0.48976632492029665,-0.25895820573154593
0,18,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.4712210913487096), np.float64(-0.34274499302785194)]",0,"[np.float64(0.029268959151190987), np.float64(-0.15676495647224753)]",0,1,[0.49995099],[0.00049005],18,-0.06374799866052827,0.4712210913487096,-0.34274499302785194
0,17,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.4977590747834639), np.float64(-0.3258033571507851)]",0,"[np.float64(0.00224093016604604), np.float64(-0.17419663789970496)]",0,1,[-0.5],[4.94950991e-09],17,-0.08597785386682946,0.4977590747834639,-0.3258033571507851
0,18,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.49870026545320323), np.float64(-0.3345131890457704)]",0,"[np.float64(0.0012997350417477405), np.float64(-0.16548681045927865)]",0,1,[-0.5],[4.94950969e-10],18,-0.08209353770876546,0.49870026545320323,-0.3345131890457704
0,18,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.2643570698033233), np.float64(-0.2902392211863058)]",0,"[np.float64(-0.2143571193033228), np.float64(0.3402391716863063)]",0,1,[-0.005],[0.04999995],18,0.06294102619149175,0.2643570698033233,-0.2902392211863058
0,19,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.48351405419220983), np.float64(-0.3505832408514643)]",0,"[np.float64(0.01653495085778023), np.float64(-0.14936775409854564)]",0,1,[0.4999951],[4.900505e-05],19,-0.0664164016203827,0.48351405419220983,-0.3505832408514643
0,19,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.17432707969592773), np.float64(-0.2732272626019905)]",0,"[np.float64(-0.1693270846459277), np.float64(-0.7217727423480095)]",0,1,[-0.4505],[-0.495],19,-0.4455499134969686,0.17432707969592773,-0.2732272626019905
0,19,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.49427236845171385), np.float64(-0.27098554544521364)]",0,"[np.float64(-0.9942228684522039), np.float64(0.7710350454447237)]",0,1,[0.49999505],[4.94999995e-05],19,-0.1115939115037401,0.49427236845171385,-0.27098554544521364
0,20,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.1032097041446381), np.float64(-0.30931589971939094)]",0,"[np.float64(0.34729029536036193), np.float64(-0.24018410077560898)]",0,1,[-0.49505],[-0.0495],20,0.05355309729237648,0.1032097041446381,-0.30931589971939094
0,19,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.49924615417073726), np.float64(-0.3427875295687343)]",0,"[np.float64(-0.9992461541212422), np.float64(0.8427875296182294)]",0,1,[-0.5],[4.94950747e-11],19,-0.07822931225150637,0.49924615417073726,-0.3427875295687343
0,20,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.07669876370178824), np.float64(-0.23243379317297747)]",0,"[np.float64(-0.5766938137018373), np.float64(0.7324387431729285)]",0,1,[0.49999951],[4.94999995e-06],20,0.0778724647355456,0.07669876370178824,-0.23243379317297747
0,20,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.49045873355247754), np.float64(-0.3580516285563916)]",0,"[np.float64(0.009546166952521473), np.float64(-0.14194347093860937)]",0,1,[0.49999951],[4.900505e-06],20,-0.06619865199304395,0.49045873355247754,-0.3580516285563916
0,20,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(0.07956276943981555), np.float64(-0.30064815308782283)]",0,"[np.float64(-0.5795627694348661), np.float64(0.8006481530927723)]",0,1,[-0.5],[4.94948527e-12],20,0.1105426918289531,0.07956276943981555,-0.30064815308782283
0,21,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.49446812367253656), np.float64(-0.36514880210332207)]",0,"[np.float64(0.005532366377963394), np.float64(0.865149292153822)]",0,1,[0.94999995],[0.50000049],21,0.4353408292658927,0.49446812367253656,-0.36514880210332207
0,21,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(-0.16551263805298339), np.float64(-0.19581185601433104)]",1,"[np.float64(0.6655131330529784), np.float64(-0.30418764898567385)]",0,0,[0.49999995],[4.94999995e-07],21,0.1806627420336523,-0.16551263805298339,-0.19581185601433104
0,22,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.4967917175512812), np.float64(-0.321891337495631)]",0,"[np.float64(-0.44679166854623126), np.float64(0.37189138650068093)]",0,1,[0.995],[0.05000005],22,-0.03745014102277516,0.4967917175512812,-0.321891337495631
0,21,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.2490716281959901), np.float64(-0.3213251047581714)]",0,"[np.float64(0.24597837175450993), np.float64(-0.18362489529132858)]",0,1,[-0.499505],[-0.00495],21,0.031176738231590673,0.2490716281959901,-0.3213251047581714
0,21,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.16385359372282818), np.float64(-0.2606157454331842)]",0,"[np.float64(0.6638535937233231), np.float64(0.7606157454336792)]",0,1,[-0.05],[0.5],21,0.7122346695785011,-0.16385359372282818,-0.2606157454331842
0,22,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.13223698140033446), np.float64(-0.32357066858831407)]",0,"[np.float64(0.6322370309003339), np.float64(-0.17642928191168644)]",0,1,[0.5],[4.94999995e-08],22,0.22790387449432373,-0.13223698140033446,-0.32357066858831407
0,22,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.3523825443328843), np.float64(-0.33050634952273783)]",0,"[np.float64(0.1471224556621657), np.float64(-0.16998865048221212)]",0,1,[-0.4999505],[-0.000495],22,-0.011433097410023213,0.3523825443328843,-0.33050634952273783
0,22,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.11496491564096753), np.float64(-0.22258495816150026)]",0,"[np.float64(-0.06496491564091803), np.float64(0.27258495816154976)]",0,1,[-0.005],[0.05],22,0.10381002126031587,0.11496491564096753,-0.22258495816150026
0,23,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.4141739757109939), np.float64(-0.33900578204684845)]",0,"[np.float64(-0.9142234757114889), np.float64(-0.16104371795364653)]",0,1,[-0.94999505],[-0.5000495],23,-0.5376335968325677,0.4141739757109939,-0.33900578204684845
0,23,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.30913921676186407), np.float64(-0.3032967681705969)]",0,"[np.float64(-0.30413921186135906), np.float64(-0.6917032269288981)]",0,1,[0.5495],[-0.495],23,-0.49792121939512857,0.30913921676186407,-0.3032967681705969
0,23,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.13330257157780578), np.float64(-0.3323921326838984)]",0,"[np.float64(0.3666974333721942), np.float64(0.8323921376338983)]",0,1,[0.95],[0.5],23,0.5995447855030462,0.13330257157780578,-0.3323921326838984
0,24,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.03020011591216859), np.float64(-0.34705796794453075)]",0,"[np.float64(-0.08020506591221804), np.float64(0.2970530179444813)]",0,1,[-0.9949995],[-0.05000495],24,0.10842397601613163,0.03020011591216859,-0.34705796794453075
0,23,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.08767965107178197), np.float64(-0.20895571025342277)]",0,"[np.float64(-0.08267965107177702), np.float64(-0.7860442897465723)]",0,1,[-0.4505],[-0.495],23,-0.4343619704091746,0.08767965107178197,-0.20895571025342277
0,24,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.28731549359412734), np.float64(-0.2907725258022035)]",0,"[np.float64(-0.23731549309912736), np.float64(0.34077252629720345)]",0,1,[0.995],[0.05],24,0.051728516599038044,0.28731549359412734,-0.2907725258022035
0,24,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.18140074778009327), np.float64(-0.3378819295170418)]",0,"[np.float64(0.26909925270995727), np.float64(-0.2116180699929076)]",0,1,[0.50495],[-0.0495],24,0.02874059135852483,0.18140074778009327,-0.3378819295170418
0,24,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.05295419762163562), np.float64(-0.2482579247407514)]",0,"[np.float64(0.3975458023783649), np.float64(-0.30124207525924807)]",0,1,[-0.49505],[-0.0495],24,0.04815186355955842,0.05295419762163562,-0.2482579247407514
