block_number,trial_number,state_id,stim_id,action,w_values
0,32065,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32066,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32067,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,32068,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32069,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32070,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,32071,State CE,CE,1,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32072,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32073,State AN,AN,1,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,32074,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32075,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32076,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32077,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32078,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32079,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32080,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32081,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32082,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32083,State DF,DF,1,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,32084,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32085,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32086,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,32087,State BE,BE,1,"[np.float64(-0.9631890537372975), np.float64(0.11548221239750663)]"
0,32088,State CG,CG,1,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,32089,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32090,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32091,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32092,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32093,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,32094,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32095,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32096,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32097,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32098,State CG,CG,1,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,32099,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,32100,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32101,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,32102,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32103,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32104,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,32105,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,32106,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,32107,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32108,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32109,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32110,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32111,State AD,AD,1,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,32112,State FN,FN,1,"[np.float64(-0.8845177876024934), np.float64(-0.15)]"
0,32113,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32114,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32115,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32116,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,32117,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32118,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32119,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32120,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,32121,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,32122,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32123,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32124,State AE,AE,0,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32125,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32126,State AN,AN,0,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,32127,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,32128,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32129,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32130,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,32131,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32132,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,32133,State BF,BF,0,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32134,State DH,DH,0,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,32135,State BN,BN,1,"[np.float64(-0.9631890537372975), np.float64(-0.15)]"
0,32136,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32137,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,32138,State DF,DF,1,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,32139,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32140,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32141,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32142,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,32143,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32144,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,32145,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32146,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32147,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32148,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32149,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,32150,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,32151,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32152,State AE,AE,1,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,32153,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,32154,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32155,State HN,HN,0,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32156,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,32157,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32158,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32159,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32160,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32161,State BE,BE,1,"[np.float64(-0.9631890537372975), np.float64(0.11548221239750663)]"
0,32162,State BF,BF,1,"[np.float64(-0.9631890537372975), np.float64(-0.8845177876024934)]"
0,32163,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,32164,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,32165,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32166,State DH,DH,1,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,32167,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,32168,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,32169,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32170,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32171,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32172,State HN,HN,1,"[np.float64(-0.5364514007194346), np.float64(-0.15)]"
0,32173,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,32174,State CN,CN,0,"[np.float64(0.15002748889908846), np.float64(-0.15)]"
0,32175,State AN,AN,0,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,32176,State DH,DH,0,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,32177,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,32178,State CE,CE,0,"[np.float64(0.15002748889908846), np.float64(0.11548221239750663)]"
0,32179,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,32180,State EF,EF,0,"[np.float64(0.11548221239750663), np.float64(-0.8845177876024934)]"
0,32181,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,32182,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,32183,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,32184,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,32185,State AN,AN,0,"[np.float64(-0.036810946262702614), np.float64(-0.15)]"
0,32186,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,32187,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
